State/Region,Year,Insurance Type,Population,Percentage
Alaska,2017,Employer-based,85,43.5
Alaska,2017,Direct-purchase,10,5.2
Alaska,2017,TRICARE,24,12.4
Alaska,2017,Public,77,39.5
Alaska,2017,Medicaid,76,39.4
Alaska,2017,Medicare,,0.1
Alaska,2017,VA Care,,0.1
Alaska,2016,Total,197,100
Alaska,2016,Any Coverage,176,89.7
Alaska,2016,Uninsured,20,10.3
Alaska,2016,Private,120,61.1
Alaska,2016,Employer-based,94,48
Alaska,2016,Direct-purchase,9,4.4
Alaska,2016,TRICARE,24,12.4
Alaska,2016,Public,67,33.9
Alaska,2016,Medicaid,66,33.7
Alaska,2016,Medicare,1,0.4
Alaska,2016,VA Care,,
Alaska,2015,Total,196,100
Alaska,2015,Any Coverage,175,89.2
Alaska,2015,Uninsured,21,10.8
Alaska,2015,Private,116,59.2
Alaska,2015,Employer-based,92,47.2
Alaska,2015,Direct-purchase,9,4.5
Alaska,2015,TRICARE,26,13.1
Alaska,2015,Public,69,35.4
Alaska,2015,Medicaid,68,34.6
Alaska,2015,Medicare,1,0.5
Alaska,2015,VA Care,1,0.5
Alaska,2014,Total,198,100
Alaska,2014,Any Coverage,174,88.2
Alaska,2014,Uninsured,23,11.8
Alaska,2014,Private,118,59.6
Alaska,2014,Employer-based,91,46.2
Alaska,2014,Direct-purchase,9,4.5
Alaska,2014,TRICARE,24,11.9
Alaska,2014,Public,64,32.5
Alaska,2014,Medicaid,63,32.1
Alaska,2014,Medicare,1,0.4
Alaska,2014,VA Care,,0.1
Alaska,2013,Total,201,100
Alaska,2013,Any Coverage,177,88
Alaska,2013,Uninsured,24,12
Alaska,2013,Private,120,59.9
Alaska,2013,Employer-based,98,48.8
Alaska,2013,Direct-purchase,9,4.6
Alaska,2013,TRICARE,21,10.6
Alaska,2013,Public,65,32.6
Alaska,2013,Medicaid,65,32.4
Alaska,2013,Medicare,1,0.3
Alaska,2013,VA Care,,0.1
Alaska,2012,Total,196,100
Alaska,2012,Any Coverage,168,85.9
Alaska,2012,Uninsured,28,14.1
Alaska,2012,Private,113,57.8
Alaska,2012,Employer-based,91,46.6
Alaska,2012,Direct-purchase,10,5.2
Alaska,2012,TRICARE,24,12
Alaska,2012,Public,64,32.8
Alaska,2012,Medicaid,63,32.4
Alaska,2012,Medicare,,0.2
Alaska,2012,VA Care,1,0.3
Alaska,2011,Total,197,100
Alaska,2011,Any Coverage,173,88.1
Alaska,2011,Uninsured,23,11.9
Alaska,2011,Private,113,57.7
Alaska,2011,Employer-based,87,44.5
Alaska,2011,Direct-purchase,7,3.7
Alaska,2011,TRICARE,24,12.2
Alaska,2011,Public,69,34.9
Alaska,2011,Medicaid,68,34.6
Alaska,2011,Medicare,1,0.4
Alaska,2011,VA Care,,0.2
Alaska,2010,Total,198,100
Alaska,2010,Any Coverage,173,87.2
Alaska,2010,Uninsured,25,12.8
Alaska,2010,Private,122,61.7
Alaska,2010,Employer-based,100,50.4
Alaska,2010,Direct-purchase,6,3.3
Alaska,2010,TRICARE,26,13.1
Alaska,2010,Public,60,30.5
Alaska,2010,Medicaid,60,30.2
Alaska,2010,Medicare,2,0.8
Alaska,2010,VA Care,,
Alaska,2009,Total,198,100
Alaska,2009,Any Coverage,169,85.4
Alaska,2009,Uninsured,29,14.6
Alaska,2009,Private,122,61.5
Alaska,2009,Employer-based,94,47.4
Alaska,2009,Direct-purchase,12,5.9
Alaska,2009,TRICARE,27,13.5
Alaska,2009,Public,56,28.4
Alaska,2009,Medicaid,56,28.2
Alaska,2009,Medicare,1,0.3
Alaska,2009,VA Care,,0.2
Alaska,2008,Total,193,100
Alaska,2008,Any Coverage,169,87.5
Alaska,2008,Uninsured,24,12.5
Alaska,2008,Private,128,66.2
Alaska,2008,Employer-based,101,52.5
Alaska,2008,Direct-purchase,11,5.8
Alaska,2008,TRICARE,26,13.5
Alaska,2008,Public,53,27.4
Alaska,2008,Medicaid,51,26.2
Alaska,2008,Medicare,2,1.1
Alaska,2008,VA Care,1,0.6
Ariona,2022,Total,1683,100
Ariona,2022,Any Coverage,1541,91.6
Ariona,2022,Uninsured,142,8.4
Ariona,2022,Private,993,59
Ariona,2022,Employer-based,853,50.7
Ariona,2022,Direct-purchase,131,7.8
Ariona,2022,TRICARE,47,2.8
Ariona,2022,Public,631,37.5
Ariona,2022,Medicaid,625,37.2
Ariona,2022,Medicare,8,0.5
Ariona,2022,VA Care,2,0.1
Ariona,2021,Total,1716,100
Ariona,2021,Any Coverage,1570,91.5
Ariona,2021,Uninsured,146,8.5
Ariona,2021,Private,999,58.2
Ariona,2021,Employer-based,872,50.8
Ariona,2021,Direct-purchase,120,7
Ariona,2021,TRICARE,42,2.5
Ariona,2021,Public,668,38.9
Ariona,2021,Medicaid,663,38.7
Ariona,2021,Medicare,5,0.3
Ariona,2021,VA Care,4,0.2
Ariona,2019,Total,1744,100
Ariona,2019,Any Coverage,1583,90.8
Ariona,2019,Uninsured,161,9.2
Ariona,2019,Private,1002,57.4
Ariona,2019,Employer-based,875,50.2
Ariona,2019,Direct-purchase,115,6.6
Ariona,2019,TRICARE,40,2.3
Ariona,2019,Public,652,37.4
Ariona,2019,Medicaid,637,36.5
Ariona,2019,Medicare,20,1.2
Ariona,2019,VA Care,3,0.1
Ariona,2018,Total,1746,100
Ariona,2018,Any Coverage,1599,91.6
Ariona,2018,Uninsured,146,8.4
Ariona,2018,Private,987,56.6
Ariona,2018,Employer-based,864,49.5
Ariona,2018,Direct-purchase,117,6.7
Ariona,2018,TRICARE,39,2.2
Ariona,2018,Public,687,39.3
Ariona,2018,Medicaid,679,38.9
Ariona,2018,Medicare,11,0.6
Ariona,2018,VA Care,4,0.2
Ariona,2017,Total,1729,100
Ariona,2017,Any Coverage,1596,92.3
Ariona,2017,Uninsured,133,7.7
Ariona,2017,Private,985,57
Ariona,2017,Employer-based,851,49.2
Ariona,2017,Direct-purchase,130,7.5
Ariona,2017,TRICARE,39,2.2
Ariona,2017,Public,678,39.2
Ariona,2017,Medicaid,675,39
Ariona,2017,Medicare,5,0.3
Ariona,2017,VA Care,2,0.1
Ariona,2016,Total,1732,100
Ariona,2016,Any Coverage,1601,92.4
Ariona,2016,Uninsured,132,7.6
Ariona,2016,Private,965,55.7
Ariona,2016,Employer-based,814,47
Ariona,2016,Direct-purchase,142,8.2
Ariona,2016,TRICARE,38,2.2
Ariona,2016,Public,702,40.5
Ariona,2016,Medicaid,698,40.3
Ariona,2016,Medicare,7,0.4
Ariona,2016,VA Care,1,0.1
Ariona,2015,Total,1716,100
Ariona,2015,Any Coverage,1565,91.2
Ariona,2015,Uninsured,151,8.8
Ariona,2015,Private,982,57.2
Ariona,2015,Employer-based,824,48
Ariona,2015,Direct-purchase,147,8.6
Ariona,2015,TRICARE,42,2.4
Ariona,2015,Public,654,38.1
Ariona,2015,Medicaid,646,37.6
Ariona,2015,Medicare,14,0.8
Ariona,2015,VA Care,1,0.1
Ariona,2014,Total,1719,100
Ariona,2014,Any Coverage,1540,89.6
Ariona,2014,Uninsured,179,10.4
Ariona,2014,Private,953,55.4
Ariona,2014,Employer-based,805,46.8
Ariona,2014,Direct-purchase,133,7.7
Ariona,2014,TRICARE,41,2.4
Ariona,2014,Public,644,37.5
Ariona,2014,Medicaid,641,37.3
Ariona,2014,Medicare,7,0.4
Ariona,2014,VA Care,1,0.1
Ariona,2013,Total,1707,100
Ariona,2013,Any Coverage,1494,87.6
Ariona,2013,Uninsured,212,12.4
Ariona,2013,Private,922,54
Ariona,2013,Employer-based,788,46.2
Ariona,2013,Direct-purchase,121,7.1
Ariona,2013,TRICARE,41,2.4
Ariona,2013,Public,633,37.1
Ariona,2013,Medicaid,628,36.8
Ariona,2013,Medicare,8,0.5
Ariona,2013,VA Care,3,0.2
Ariona,2012,Total,1710,100
Ariona,2012,Any Coverage,1477,86.4
Ariona,2012,Uninsured,233,13.6
Ariona,2012,Private,893,52.2
Ariona,2012,Employer-based,766,44.8
Ariona,2012,Direct-purchase,136,8
Ariona,2012,TRICARE,40,2.4
Ariona,2012,Public,633,37
Ariona,2012,Medicaid,629,36.8
Ariona,2012,Medicare,9,0.5
Ariona,2012,VA Care,2,0.1
Ariona,2011,Total,1716,100
Ariona,2011,Any Coverage,1486,86.6
Ariona,2011,Uninsured,230,13.4
Ariona,2011,Private,904,52.7
Ariona,2011,Employer-based,779,45.4
Ariona,2011,Direct-purchase,139,8.1
Ariona,2011,TRICARE,38,2.2
Ariona,2011,Public,638,37.2
Ariona,2011,Medicaid,633,36.9
Ariona,2011,Medicare,7,0.4
Ariona,2011,VA Care,2,0.1
Ariona,2010,Total,1727,100
Ariona,2010,Any Coverage,1499,86.8
Ariona,2010,Uninsured,228,13.2
Ariona,2010,Private,934,54.1
Ariona,2010,Employer-based,804,46.5
Ariona,2010,Direct-purchase,125,7.3
Ariona,2010,TRICARE,41,2.4
Ariona,2010,Public,625,36.2
Ariona,2010,Medicaid,619,35.8
Ariona,2010,Medicare,8,0.5
Ariona,2010,VA Care,3,0.2
Ariona,2009,Total,1821,100
Ariona,2009,Any Coverage,1590,87.3
Ariona,2009,Uninsured,232,12.7
Ariona,2009,Private,1002,55
Ariona,2009,Employer-based,851,46.7
Ariona,2009,Direct-purchase,152,8.3
Ariona,2009,TRICARE,40,2.2
Ariona,2009,Public,645,35.4
Ariona,2009,Medicaid,641,35.2
Ariona,2009,Medicare,6,0.3
Ariona,2009,VA Care,2,0.1
Ariona,2008,Total,1794,100
Ariona,2008,Any Coverage,1514,84.4
Ariona,2008,Uninsured,279,15.6
Ariona,2008,Private,1012,56.4
Ariona,2008,Employer-based,864,48.2
Ariona,2008,Direct-purchase,162,9
Ariona,2008,TRICARE,37,2.1
Ariona,2008,Public,564,31.4
Ariona,2008,Medicaid,559,31.2
Ariona,2008,Medicare,9,0.5
Ariona,2008,VA Care,3,0.1
Arkansas,2022,Total,740,100
Arkansas,2022,Any Coverage,696,94.1
Arkansas,2022,Uninsured,44,5.9
Arkansas,2022,Private,355,47.9
Arkansas,2022,Employer-based,307,41.5
Arkansas,2022,Direct-purchase,45,6.1
Arkansas,2022,TRICARE,14,1.9
Arkansas,2022,Public,384,51.9
Arkansas,2022,Medicaid,381,51.4
Arkansas,2022,Medicare,5,0.7
Arkansas,2022,VA Care,3,0.4
Arkansas,2021,Total,743,100
Arkansas,2021,Any Coverage,700,94.2
Arkansas,2021,Uninsured,43,5.8
Arkansas,2021,Private,342,46
Arkansas,2021,Employer-based,290,39
Arkansas,2021,Direct-purchase,43,5.8
Arkansas,2021,TRICARE,15,2.1
Arkansas,2021,Public,391,52.6
Arkansas,2021,Medicaid,388,52.2
Arkansas,2021,Medicare,5,0.7
Arkansas,2021,VA Care,2,0.3
Arkansas,2019,Total,741,100
Arkansas,2019,Any Coverage,698,94.1
Arkansas,2019,Uninsured,43,5.9
Arkansas,2019,Private,348,47
Arkansas,2019,Employer-based,298,40.2
Arkansas,2019,Direct-purchase,46,6.2
Arkansas,2019,TRICARE,16,2.1
Arkansas,2019,Public,379,51.1
Arkansas,2019,Medicaid,376,50.8
Arkansas,2019,Medicare,4,0.5
Arkansas,2019,VA Care,2,0.2
Arkansas,2018,Total,747,100
Arkansas,2018,Any Coverage,713,95.5
Arkansas,2018,Uninsured,34,4.5
Arkansas,2018,Private,346,46.4
Arkansas,2018,Employer-based,300,40.2
Arkansas,2018,Direct-purchase,37,5
Arkansas,2018,TRICARE,19,2.5
Arkansas,2018,Public,390,52.3
Arkansas,2018,Medicaid,388,52
Arkansas,2018,Medicare,8,1
Arkansas,2018,VA Care,1,0.1
Arkansas,2017,Total,752,100
Arkansas,2017,Any Coverage,718,95.6
Arkansas,2017,Uninsured,33,4.4
Arkansas,2017,Private,355,47.2
Arkansas,2017,Employer-based,303,40.3
Arkansas,2017,Direct-purchase,43,5.8
Arkansas,2017,TRICARE,18,2.4
Arkansas,2017,Public,398,52.9
Arkansas,2017,Medicaid,393,52.3
Arkansas,2017,Medicare,10,1.4
Arkansas,2017,VA Care,1,0.1
Arkansas,2016,Total,754,100
Arkansas,2016,Any Coverage,724,96
Arkansas,2016,Uninsured,30,4
Arkansas,2016,Private,364,48.3
Arkansas,2016,Employer-based,312,41.4
Arkansas,2016,Direct-purchase,46,6.1
Arkansas,2016,TRICARE,16,2.1
Arkansas,2016,Public,392,52
Arkansas,2016,Medicaid,389,51.6
Arkansas,2016,Medicare,4,0.6
Arkansas,2016,VA Care,2,0.2
Arkansas,2015,Total,744,100
Arkansas,2015,Any Coverage,705,94.7
Arkansas,2015,Uninsured,39,5.3
Arkansas,2015,Private,353,47.4
Arkansas,2015,Employer-based,299,40.2
Arkansas,2015,Direct-purchase,48,6.4
Arkansas,2015,TRICARE,16,2.2
Arkansas,2015,Public,382,51.4
Arkansas,2015,Medicaid,378,50.8
Arkansas,2015,Medicare,5,0.7
Arkansas,2015,VA Care,3,0.4
Arkansas,2014,Total,750,100
Arkansas,2014,Any Coverage,711,94.8
Arkansas,2014,Uninsured,39,5.2
Arkansas,2014,Private,355,47.3
Arkansas,2014,Employer-based,307,41
Arkansas,2014,Direct-purchase,42,5.6
Arkansas,2014,TRICARE,14,1.9
Arkansas,2014,Public,382,50.9
Arkansas,2014,Medicaid,379,50.5
Arkansas,2014,Medicare,3,0.4
Arkansas,2014,VA Care,2,0.2
Arkansas,2013,Total,751,100
Arkansas,2013,Any Coverage,705,93.9
Arkansas,2013,Uninsured,46,6.1
Arkansas,2013,Private,351,46.7
Arkansas,2013,Employer-based,303,40.3
Arkansas,2013,Direct-purchase,40,5.4
Arkansas,2013,TRICARE,17,2.3
Arkansas,2013,Public,383,51
Arkansas,2013,Medicaid,380,50.6
Arkansas,2013,Medicare,5,0.7
Arkansas,2013,VA Care,1,0.2
Arkansas,2012,Total,750,100
Arkansas,2012,Any Coverage,701,93.4
Arkansas,2012,Uninsured,49,6.6
Arkansas,2012,Private,354,47.2
Arkansas,2012,Employer-based,307,41
Arkansas,2012,Direct-purchase,47,6.2
Arkansas,2012,TRICARE,15,2.1
Arkansas,2012,Public,368,49.1
Arkansas,2012,Medicaid,363,48.4
Arkansas,2012,Medicare,8,1
Arkansas,2012,VA Care,2,0.3
Arkansas,2011,Total,752,100
Arkansas,2011,Any Coverage,705,93.8
Arkansas,2011,Uninsured,47,6.2
Arkansas,2011,Private,358,47.6
Arkansas,2011,Employer-based,311,41.4
Arkansas,2011,Direct-purchase,49,6.5
Arkansas,2011,TRICARE,13,1.7
Arkansas,2011,Public,378,50.3
Arkansas,2011,Medicaid,373,49.6
Arkansas,2011,Medicare,9,1.2
Arkansas,2011,VA Care,2,0.2
